iter	Passed	Remaining
0	6	3279
1	11	2938
2	17	2883
3	22	2832
4	29	2891
5	34	2848
6	40	2869
7	45	2784
8	49	2708
9	54	2646
10	57	2576
11	64	2631
12	72	2708
13	76	2665
14	80	2617
15	84	2558
16	88	2515
17	92	2474
18	96	2431
19	99	2384
20	103	2350
21	109	2370
22	113	2350
23	117	2336
24	123	2338
25	127	2333
26	133	2339
27	140	2364
28	144	2345
29	148	2324
30	152	2312
31	156	2292
32	162	2294
33	166	2275
34	171	2273
35	176	2269
36	180	2263
37	186	2265
38	190	2250
39	193	2229
40	197	2206
41	200	2188
42	205	2184
43	209	2169
44	213	2159
45	217	2145
46	220	2128
47	224	2112
48	228	2098
49	232	2088
50	236	2082
51	240	2075
52	244	2063
53	248	2055
54	253	2047
55	256	2034
56	260	2022
57	264	2016
58	268	2008
59	274	2012
60	278	2002
61	281	1990
62	285	1978
63	289	1971
64	293	1966
65	297	1956
66	301	1948
67	306	1948
68	310	1938
69	314	1929
70	317	1919
71	321	1910
72	325	1902
73	328	1892
74	332	1883
75	337	1883
76	341	1877
77	346	1872
78	349	1863
79	353	1855
80	360	1862
81	379	1936
82	384	1931
83	388	1924
84	392	1915
85	395	1905
86	401	1903
87	407	1905
88	411	1898
89	417	1899
90	420	1890
91	429	1906
92	435	1903
93	439	1899
94	443	1891
95	447	1884
96	451	1877
97	455	1867
98	458	1857
99	461	1847
100	465	1840
101	471	1839
102	475	1832
103	479	1825
104	487	1835
105	493	1833
106	498	1830
107	503	1825
108	506	1816
109	510	1809
110	515	1807
111	520	1802
112	523	1794
113	527	1785
114	531	1780
115	536	1775
116	539	1766
117	543	1759
118	552	1767
119	555	1758
120	559	1750
121	564	1748
122	569	1744
123	572	1736
124	576	1729
125	579	1721
126	583	1712
127	586	1705
128	591	1699
129	594	1693
130	599	1687
131	603	1681
132	612	1690
133	620	1693
134	625	1692
135	629	1685
136	636	1687
137	641	1681
138	645	1675
139	649	1670
140	653	1664
141	657	1658
142	661	1651
143	665	1645
144	669	1639
145	679	1646
146	683	1640
147	687	1635
148	692	1631
149	697	1628
150	703	1625
151	707	1619
152	711	1612
153	715	1608
154	720	1603
155	723	1596
156	728	1590
157	739	1600
158	745	1597
159	751	1596
160	756	1593
161	761	1587
162	766	1583
163	769	1576
164	773	1569
165	776	1563
166	781	1558
167	786	1554
168	792	1551
169	801	1555
170	804	1548
171	808	1542
172	812	1535
173	815	1528
