date,index_close,index_volume,index_amount,index_turnover
2014-01-02,2321.978,4519429100,49012211124.0,0
2014-01-03,2290.779,5978264500,57739709924.0,0
2014-01-06,2238.637,6630040300,59979360128.0,0
2014-01-07,2238.001,4375310300,42565648108.0,0
2014-01-08,2241.911,5134885400,50691488898.0,0
2014-01-09,2222.221,5598704100,54399491333.0,0
2014-01-10,2204.851,5416929300,47572309533.0,0
2014-01-13,2193.679,5012277200,46123003754.0,0
2014-01-14,2212.846,5404994700,46785099888.0,0
2014-01-15,2208.941,4896239500,45755914348.0,0
2014-01-16,2211.844,5229890200,49842784005.0,0
2014-01-17,2178.488,5027315500,46268159163.0,0
2014-01-20,2165.993,4056015400,39157227541.0,0
2014-01-21,2187.41,4030624700,38590992772.0,0
2014-01-22,2243.796,7064137500,64803357078.0,0
2014-01-23,2231.889,5634595100,55726417393.0,0
2014-01-24,2245.678,6116767000,59563444873.0,0
2014-01-27,2215.919,7034424600,63503992484.0,0
2014-01-28,2219.855,5326913000,49408754555.0,0
2014-01-29,2227.781,5022271700,48788682770.0,0
2014-01-30,2202.45,4363230400,43475960839.0,0
2014-02-07,2212.483,5045931500,49597106433.0,0
2014-02-10,2267.534,8306571600,81103244127.0,0
2014-02-11,2285.562,9922982900,92688969126.0,0
2014-02-12,2291.246,7659216100,73487379679.0,0
2014-02-13,2279.554,9621778900,87352124305.0,0
2014-02-14,2295.575,6708299700,64613327719.0,0
2014-02-17,2311.647,8783166600,86871352624.0,0
2014-02-18,2282.442,8704974300,88107267954.0,0
2014-02-19,2308.656,9935256100,88341900374.0,0
2014-02-20,2287.436,10643953300,91771595713.0,0
2014-02-21,2264.294,7636899300,69908188663.0,0
2014-02-24,2214.509,8921593900,79599146389.0,0
2014-02-25,2157.909,9323755100,88306571728.0,0
2014-02-26,2163.405,7799329700,68640581126.0,0
2014-02-27,2154.108,9010429600,81587999653.0,0
2014-02-28,2178.971,7666805700,70216798972.0,0
2014-03-03,2190.37,8207231400,69408739897.0,0
2014-03-04,2184.273,7306925000,64691438035.0,0
2014-03-05,2163.976,6133201500,55669679402.0,0
2014-03-06,2173.634,6909376700,61495023657.0,0
2014-03-07,2168.358,6426517700,58693177974.0,0
2014-03-10,2097.787,7141640700,63086412572.0,0
2014-03-11,2108.661,5762124300,53075782462.0,0
