iter	Passed	Remaining
0	12	6246
1	17	4420
2	21	3556
3	25	3152
4	30	3064
5	35	2912
6	46	3295
7	50	3124
8	55	3015
9	59	2927
10	64	2863
11	68	2783
12	78	2945
13	83	2882
14	88	2860
15	91	2777
16	95	2707
17	98	2641
18	108	2739
19	112	2696
20	116	2647
21	119	2596
22	122	2550
23	126	2510
24	130	2473
25	134	2447
26	144	2531
27	147	2494
28	153	2491
29	157	2472
30	161	2437
31	164	2405
32	168	2388
33	178	2448
34	182	2419
35	185	2391
36	189	2367
37	192	2340
38	196	2317
39	199	2295
40	211	2364
41	215	2346
42	218	2323
43	221	2299
44	225	2278
45	229	2263
46	232	2243
47	243	2288
48	247	2277
49	251	2259
50	254	2243
51	258	2229
52	262	2214
53	266	2199
54	278	2249
55	281	2234
56	285	2215
57	288	2200
58	292	2184
59	295	2169
60	299	2152
61	309	2183
62	313	2174
63	316	2157
64	320	2144
65	324	2131
66	327	2116
67	331	2103
68	342	2141
69	346	2130
70	350	2116
71	353	2102
72	356	2087
73	360	2075
74	364	2066
75	368	2054
76	378	2077
77	381	2064
78	385	2051
79	388	2038
80	391	2025
81	396	2019
82	399	2009
83	411	2040
84	415	2027
85	418	2016
86	422	2004
87	425	1994
88	429	1983
89	432	1971
90	436	1961
91	447	1983
92	450	1971
93	454	1962
94	460	1961
95	463	1949
96	466	1939
97	476	1955
98	480	1947
99	484	1937
100	487	1926
101	490	1915
102	494	1904
103	497	1894
104	506	1904
105	512	1904
106	516	1895
107	519	1886
108	525	1884
109	528	1874
110	532	1865
111	542	1878
112	546	1872
113	550	1864
114	553	1854
115	557	1845
116	560	1836
117	564	1828
118	568	1819
119	579	1834
120	585	1832
121	588	1823
122	592	1814
123	596	1807
124	599	1798
125	609	1808
126	613	1802
127	617	1793
128	620	1785
129	624	1776
130	627	1768
131	631	1759
132	634	1750
133	644	1760
134	650	1757
135	653	1748
136	656	1740
137	660	1731
138	663	1723
139	667	1715
140	670	1708
141	680	1715
142	684	1707
143	687	1699
144	690	1691
145	694	1683
146	697	1675
147	701	1669
148	713	1681
149	717	1673
150	721	1667
151	725	1661
152	729	1653
153	733	1647
154	736	1640
155	747	1649
156	751	1641
157	754	1633
158	758	1626
159	761	1618
160	765	1611
161	769	1604
162	781	1614
163	784	1607
164	787	1599
165	791	1591
166	794	1584
167	798	1577
168	801	1569
169	804	1562
170	814	1568
171	818	1560
172	821	1553
173	825	1547
174	831	1543
175	834	1537
176	845	1542
177	849	1537
178	853	1530
179	857	1524
180	860	1517
181	864	1510
182	868	1503
183	878	1509
184	882	1502
185	886	1495
186	889	1489
187	893	1482
188	898	1478
189	901	1471
190	911	1475
191	915	1469
192	920	1463
193	923	1457
194	927	1450
195	931	1444
196	935	1438
197	945	1442
198	949	1435
199	954	1432
200	958	1425
201	961	1418
202	966	1413
203	975	1415
204	979	1409
205	983	1404
206	987	1397
207	991	1391
208	996	1386
209	999	1380
210	1010	1383
211	1014	1377
212	1020	1374
213	1026	1371
214	1029	1364
215	1033	1358
216	1043	1360
217	1047	1354
218	1050	1347
219	1053	1341
220	1057	1335
221	1061	1329
222	1064	1322
223	1074	1323
224	1080	1320
225	1083	1313
226	1087	1307
227	1091	1301
228	1094	1295
229	1097	1288
230	1107	1289
231	1111	1283
232	1114	1277
233	1119	1272
234	1122	1265
235	1126	1259
236	1129	1253
237	1132	1247
238	1145	1250
239	1149	1245
240	1153	1239
241	1157	1233
242	1160	1227
243	1163	1220
244	1173	1221
245	1177	1215
246	1181	1209
247	1184	1203
248	1188	1197
249	1191	1191
250	1195	1185
251	1199	1180
252	1210	1181
253	1214	1176
254	1218	1170
255	1221	1164
256	1225	1158
257	1228	1152
258	1232	1146
259	1242	1146
260	1246	1141
261	1249	1135
262	1253	1129
263	1256	1123
264	1260	1117
265	1264	1112
266	1276	1114
267	1280	1108
268	1285	1103
269	1289	1098
270	1293	1092
271	1296	1087
272	1306	1086
273	1311	1081
274	1315	1076
275	1318	1070
276	1322	1064
277	1327	1060
278	1331	1054
279	1342	1054
280	1346	1049
281	1350	1043
282	1353	1038
283	1357	1032
284	1361	1026
285	1365	1021
286	1375	1020
287	1379	1015
288	1382	1009
289	1386	1003
290	1389	998
291	1396	994
292	1406	993
293	1410	988
294	1413	982
295	1417	976
296	1420	971
297	1424	965
298	1428	959
299	1432	954
300	1442	953
301	1446	948
302	1451	943
303	1455	938
304	1458	932
305	1462	927
306	1472	925
307	1476	920
308	1479	914
309	1483	909
310	1486	903
311	1490	898
312	1493	892
313	1497	886
314	1507	885
315	1510	879
316	1514	874
317	1519	869
318	1523	864
319	1527	858
320	1530	853
321	1540	851
322	1544	846
323	1547	840
324	1551	835
325	1555	830
326	1558	824
327	1562	819
328	1572	817
329	1578	813
330	1581	807
331	1585	802
332	1588	796
333	1592	791
334	1596	786
335	1606	784
336	1610	779
337	1615	774
338	1618	768
339	1622	763
340	1626	758
341	1636	756
342	1643	752
343	1647	747
344	1651	742
345	1655	736
346	1658	731
347	1662	726
348	1671	723
349	1676	718
350	1680	713
351	1683	707
352	1687	702
353	1690	697
354	1694	692
355	1706	690
356	1709	684
357	1712	679
358	1716	674
359	1719	668
360	1723	663
361	1726	658
362	1736	655
363	1741	650
364	1744	645
365	1748	640
366	1751	634
367	1755	629
368	1759	624
369	1771	622
370	1775	617
371	1778	611
372	1781	606
373	1785	601
374	1788	596
375	1791	590
376	1795	585
377	1805	582
378	1809	577
379	1812	572
380	1816	567
381	1819	562
382	1826	557
383	1835	554
384	1840	549
385	1844	544
386	1847	539
387	1851	534
388	1855	529
389	1859	524
390	1867	520
391	1872	515
392	1876	510
393	1880	505
394	1883	500
395	1889	496
396	1893	491
397	1903	487
398	1907	482
399	1910	477
400	1914	472
401	1917	467
402	1921	462
403	1924	457
404	1928	452
405	1937	448
406	1942	443
407	1947	439
408	1951	434
409	1955	429
410	1958	424
411	1962	419
412	1972	415
413	1975	410
414	1979	405
415	1982	400
416	1986	395
417	1990	390
418	1994	385
419	2005	381
420	2008	376
421	2012	371
422	2018	367
423	2023	362
424	2027	357
425	2037	353
426	2041	349
427	2046	344
428	2050	339
429	2054	334
430	2057	329
431	2061	324
432	2073	320
433	2076	315
434	2080	310
435	2083	305
436	2086	300
437	2090	295
438	2093	290
439	2103	286
440	2107	281
441	2110	276
442	2114	272
443	2117	267
444	2121	262
445	2125	257
446	2128	252
447	2140	248
448	2144	243
449	2148	238
450	2152	233
451	2156	228
452	2160	224
453	2170	219
454	2173	214
455	2176	210
456	2180	205
457	2183	200
458	2187	195
459	2190	190
460	2203	186
461	2206	181
462	2209	176
463	2213	171
464	2216	166
465	2220	162
466	2223	157
467	2227	152
468	2237	147
469	2240	143
470	2244	138
471	2248	133
472	2252	128
473	2255	123
474	2267	119
475	2271	114
476	2275	109
477	2278	104
478	2282	100
479	2285	95
480	2288	90
481	2292	85
482	2302	81
483	2305	76
484	2308	71
485	2312	66
486	2316	61
487	2322	57
488	2325	52
489	2335	47
490	2339	42
491	2343	38
492	2347	33
493	2351	28
494	2355	23
495	2358	19
496	2368	14
497	2372	9
498	2376	4
499	2379	0
